"Solucao","Valor_Solucao"
4,3384903
0,72
2,3384903
0,72
6,3384903
4,72
3,3384903
0,72
0,3384903
17,72
5,3384903
15,72
49836,3384903
26909,72
42432,3384903
10387,72
155004,3384903
140817,72
88387,3384903
92276,72
48187,3384903
50469,72
67677,3384903
28504,72
99798,3384903
122235,72
139624,3384903
97709,72
4,3384903
0,72
2,3384903
0,72
6,3384903
4,72
3,3384903
0,72
0,3384903
17,72
5,3384903
15,72
49836,3384903
26909,72
42432,3384903
10387,72
155004,3384903
140817,72
88387,3384903
92276,72
48187,3384903
50469,72
67677,3384903
28504,72
99798,3384903
122235,72
139624,3384903
97709,72
