"Solucao","Valor_Solucao"
3,3603504
0,74
1,3603504
0,74
1,3603504
21,74
8,3603504
1,74
1,3603504
1,74
1,3603504
20,74
11903,3603504
19403,74
36151,3603504
9905,74
114618,3603504
153322,74
136283,3603504
108728,74
66829,3603504
24272,74
55024,3603504
51562,74
123820,3603504
112367,74
129782,3603504
114097,74
3,3603504
0,74
1,3603504
0,74
1,3603504
21,74
8,3603504
1,74
1,3603504
1,74
1,3603504
20,74
11903,3603504
19403,74
36151,3603504
9905,74
114618,3603504
153322,74
136283,3603504
108728,74
66829,3603504
24272,74
55024,3603504
51562,74
123820,3603504
112367,74
129782,3603504
114097,74
